file,category,name,name_source,matched_code,matched_class,matched_phrase
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/terminal_7g1.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Terminal_7G1,en,X,interfacing object,terminal
10_allpole/130_terminals_terminal_strips/95_terminals_spring_box/wire-connector-2-port.elmt,10_allpole/130_terminals_terminal_strips/95_terminals_spring_box,Wire Connector 2-Port,en,X,interfacing object,connector
10_allpole/130_terminals_terminal_strips/95_terminals_spring_box/wire-connector-3-port.elmt,10_allpole/130_terminals_terminal_strips/95_terminals_spring_box,Wire Connector 3-Port,en,X,interfacing object,connector
10_allpole/130_terminals_terminal_strips/95_terminals_spring_box/wire-connector-4-port.elmt,10_allpole/130_terminals_terminal_strips/95_terminals_spring_box,Wire Connector 4-Port,en,X,interfacing object,connector
10_allpole/130_terminals_terminal_strips/95_terminals_spring_box/wire-connector-5-port.elmt,10_allpole/130_terminals_terminal_strips/95_terminals_spring_box,Wire Connector 5-Port,en,X,interfacing object,connector
10_allpole/130_terminals_terminal_strips/95_terminals_spring_box/wire-connector-8-port.elmt,10_allpole/130_terminals_terminal_strips/95_terminals_spring_box,Wire Connector 8-Port,en,X,interfacing object,connector
10_allpole/130_terminals_terminal_strips/95_terminals_spring_box/wire-connector-splitter-2-input-4-output.elmt,10_allpole/130_terminals_terminal_strips/95_terminals_spring_box,Wire Connector Splitter 2 Input-4 Output,en,X,interfacing object,connector
10_allpole/130_terminals_terminal_strips/95_terminals_spring_box/wire-connector-splitter-2-input-6-output.elmt,10_allpole/130_terminals_terminal_strips/95_terminals_spring_box,Wire Connector Splitter 2 Input-6 Output,en,X,interfacing object,connector
10_allpole/130_terminals_terminal_strips/barette_de_terre.elmt,10_allpole/130_terminals_terminal_strips,Ground bar,en,,,
10_allpole/130_terminals_terminal_strips/barre_interconnexion_tn.elmt,10_allpole/130_terminals_terminal_strips,Bar interconnection TN,en,,,
10_allpole/130_terminals_terminal_strips/barrette_connexion_f.elmt,10_allpole/130_terminals_terminal_strips,"Terminal strip, closed",en,X,interfacing object,terminal
10_allpole/130_terminals_terminal_strips/borne_2.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_21.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_3.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_31.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_5.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_continuite.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_continuite2.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_finale.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_finale1.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/borne_fusible_cablage.elmt,10_allpole/130_terminals_terminal_strips,Terminal fuse,en,X,interfacing object,terminal
10_allpole/130_terminals_terminal_strips/bornedouble.elmt,10_allpole/130_terminals_terminal_strips,Terminal block,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/bornier5x.elmt,10_allpole/130_terminals_terminal_strips,Terminal block 3P+N+PE,en,U,holding object,terminal block
10_allpole/130_terminals_terminal_strips/sec_fus_ferme1.elmt,10_allpole/130_terminals_terminal_strips,Disconnecting switch fused,en,S,human interaction object,switch
10_allpole/140_connectors_plugs/01_connectors_pins/24_pin_connector_male_female.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,24 pin connector female+male,en,X,interfacing object,connector
10_allpole/140_connectors_plugs/01_connectors_pins/c091a_3p_fem.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,c091a 3p fem,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/c091a_3p_male.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,c091a 3p male,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/c091a_male.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,c091a male,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/c091d_fem.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,c091d fem,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/c16_4p_f.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,c16 4p f,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/c16_4p_m.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,c16 4p m,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/c16_7p_fem.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,c16 7p fem,filename,,,
10_allpole/140_connectors_plugs/01_connectors_pins/c16_7p_male.elmt,10_allpole/140_connectors_plugs/01_connectors_pins,c16 7p male,filename,,,
